Activity,Assignment,Attempt,Choice,Comment,Completion_state,Content,Course,Feedback,File_submission,File_submission ,Files,Folder,Grade,Option,Page,Quiz,Report,Resource,Response,Session,Submission,Submission ,Submission_state,Submission_status,Submission_text,URL,assignment,attempt,choice,content,feedback,file_submission,files,folder,page,quiz,resource,response,session,submission,submission_status
22.0,89.0,148.0,5.0,,13.0,95.0,13.0,5.0,16.0,9.0,,29.0,3.0,1.0,1.0,2.0,,20.0,136.0,,23.0,3.0,39.0,31.0,5.0,,15.0,,,22.0,1.0,1.0,,9.0,,,,,,3.0,13.0
36.0,98.0,162.0,8.0,,17.0,55.0,14.0,8.0,20.0,13.0,,26.0,3.0,1.0,2.0,15.0,,26.0,138.0,4.0,25.0,4.0,36.0,54.0,4.0,1.0,2.0,,,5.0,,,,,,,,,,,2.0
30.0,132.0,229.0,4.0,,12.0,94.0,21.0,13.0,24.0,5.0,,10.0,3.0,1.0,2.0,3.0,,7.0,213.0,,32.0,1.0,54.0,56.0,5.0,,11.0,,,7.0,1.0,1.0,,,,,,,,3.0,9.0
12.0,119.0,217.0,5.0,,11.0,59.0,,11.0,19.0,2.0,,14.0,3.0,1.0,,2.0,,10.0,190.0,,26.0,,47.0,47.0,2.0,,4.0,,,3.0,,1.0,,1.0,,1.0,,,,3.0,2.0
215.0,185.0,279.0,10.0,,13.0,130.0,7.0,30.0,18.0,10.0,,54.0,7.0,1.0,3.0,4.0,,32.0,252.0,12.0,27.0,3.0,77.0,106.0,6.0,,9.0,,,6.0,2.0,1.0,,,,,,,,3.0,7.0
34.0,164.0,204.0,12.0,,13.0,163.0,20.0,27.0,19.0,9.0,,41.0,4.0,1.0,2.0,2.0,,21.0,189.0,1.0,25.0,3.0,105.0,48.0,5.0,4.0,8.0,,1.0,6.0,2.0,,,,,,,,,,8.0
36.0,176.0,355.0,7.0,,16.0,241.0,16.0,14.0,23.0,1.0,,40.0,8.0,1.0,1.0,5.0,,15.0,232.0,,24.0,,95.0,56.0,1.0,6.0,16.0,,,9.0,,2.0,,1.0,,,,,,7.0,9.0
20.0,59.0,145.0,3.0,,10.0,67.0,9.0,6.0,14.0,10.0,1.0,21.0,4.0,1.0,6.0,2.0,,10.0,131.0,,17.0,3.0,32.0,15.0,2.0,1.0,10.0,,1.0,8.0,,2.0,,,,,,,,6.0,6.0
21.0,50.0,60.0,3.0,,10.0,47.0,2.0,8.0,10.0,7.0,,7.0,1.0,1.0,1.0,,,10.0,57.0,3.0,10.0,2.0,24.0,19.0,1.0,,4.0,,,6.0,,,,,,2.0,,,,,4.0
54.0,86.0,244.0,5.0,,11.0,140.0,26.0,6.0,7.0,5.0,,9.0,7.0,1.0,4.0,3.0,,12.0,216.0,,8.0,6.0,43.0,46.0,2.0,,5.0,,,7.0,,,,,,,,,,,5.0
46.0,74.0,247.0,7.0,,9.0,96.0,26.0,17.0,8.0,13.0,,11.0,6.0,1.0,1.0,4.0,,20.0,191.0,5.0,11.0,7.0,58.0,21.0,4.0,1.0,5.0,,,3.0,,1.0,,,,1.0,,,,3.0,3.0
12.0,21.0,53.0,4.0,,6.0,34.0,8.0,,5.0,5.0,,3.0,,1.0,1.0,2.0,,8.0,,,6.0,3.0,3.0,19.0,2.0,,,,,,,,,,,,,,,,
186.0,306.0,698.0,15.0,,18.0,650.0,42.0,29.0,31.0,12.0,,54.0,12.0,1.0,11.0,15.0,,24.0,476.0,1.0,46.0,3.0,177.0,103.0,6.0,5.0,17.0,26.0,,55.0,,1.0,,6.0,,15.0,2.0,17.0,,3.0,15.0
39.0,71.0,235.0,10.0,,11.0,98.0,24.0,6.0,11.0,10.0,1.0,14.0,2.0,1.0,,6.0,1.0,14.0,134.0,,15.0,4.0,39.0,38.0,4.0,3.0,4.0,,,2.0,,1.0,,1.0,,,,,,3.0,2.0
8.0,7.0,210.0,5.0,,3.0,31.0,3.0,,,,,2.0,1.0,,2.0,4.0,,19.0,152.0,3.0,,,7.0,1.0,,1.0,,,,,,,,,,,,,,,
76.0,188.0,454.0,8.0,,14.0,268.0,32.0,31.0,28.0,13.0,,44.0,2.0,1.0,1.0,15.0,,12.0,294.0,2.0,38.0,4.0,100.0,67.0,5.0,1.0,7.0,13.0,,8.0,,1.0,,1.0,,3.0,,12.0,,3.0,5.0
32.0,101.0,228.0,5.0,,12.0,96.0,16.0,10.0,14.0,10.0,,26.0,3.0,1.0,3.0,3.0,,15.0,147.0,2.0,25.0,4.0,48.0,43.0,6.0,2.0,5.0,,,9.0,,1.0,,2.0,,,1.0,,,3.0,3.0
38.0,52.0,168.0,11.0,,10.0,48.0,17.0,15.0,9.0,12.0,1.0,17.0,1.0,1.0,,1.0,1.0,16.0,164.0,4.0,11.0,4.0,29.0,38.0,1.0,1.0,6.0,,,2.0,,1.0,,,,,,,,3.0,4.0
39.0,108.0,184.0,5.0,,6.0,80.0,3.0,27.0,9.0,8.0,,15.0,3.0,1.0,1.0,7.0,,29.0,166.0,,14.0,3.0,79.0,31.0,3.0,,6.0,,,3.0,1.0,1.0,,,,1.0,,,,3.0,4.0
27.0,75.0,316.0,6.0,,10.0,98.0,6.0,23.0,10.0,6.0,,13.0,4.0,1.0,1.0,2.0,,90.0,201.0,25.0,16.0,2.0,49.0,24.0,3.0,5.0,8.0,,,6.0,2.0,1.0,,1.0,,,,,,3.0,6.0
90.0,306.0,281.0,11.0,,20.0,493.0,23.0,66.0,17.0,9.0,1.0,55.0,6.0,1.0,11.0,8.0,,31.0,199.0,10.0,29.0,3.0,207.0,79.0,7.0,2.0,17.0,,,18.0,3.0,1.0,,,,1.0,,,,3.0,15.0
51.0,157.0,288.0,6.0,,21.0,100.0,24.0,13.0,17.0,18.0,2.0,12.0,6.0,1.0,6.0,3.0,,17.0,205.0,,28.0,3.0,97.0,36.0,5.0,6.0,8.0,,,5.0,,1.0,,,,,,,,3.0,6.0
22.0,81.0,175.0,7.0,,12.0,86.0,13.0,6.0,14.0,8.0,,27.0,1.0,1.0,1.0,4.0,,14.0,130.0,,23.0,3.0,26.0,46.0,4.0,1.0,8.0,,,15.0,,1.0,,10.0,,,,,,3.0,6.0
49.0,116.0,250.0,10.0,,17.0,113.0,12.0,10.0,11.0,6.0,1.0,12.0,2.0,1.0,3.0,1.0,,1.0,245.0,3.0,16.0,3.0,40.0,77.0,5.0,,12.0,,,10.0,,1.0,,,,,,,,3.0,10.0
108.0,285.0,210.0,18.0,,17.0,422.0,83.0,26.0,27.0,34.0,,87.0,1.0,1.0,4.0,15.0,,13.0,157.0,,56.0,17.0,121.0,163.0,18.0,5.0,28.0,,,40.0,,1.0,,6.0,,,,,,3.0,26.0
13.0,2.0,114.0,5.0,,3.0,6.0,10.0,1.0,,3.0,,2.0,1.0,1.0,,4.0,,,61.0,,,3.0,1.0,8.0,,1.0,4.0,,,1.0,,1.0,,,,,,,,3.0,2.0
47.0,96.0,330.0,8.0,,16.0,120.0,16.0,13.0,12.0,6.0,,22.0,5.0,1.0,1.0,15.0,,18.0,212.0,,19.0,3.0,44.0,36.0,5.0,1.0,7.0,,,4.0,,1.0,,,,1.0,1.0,,,3.0,5.0
20.0,93.0,96.0,3.0,,13.0,65.0,8.0,12.0,16.0,7.0,,18.0,1.0,1.0,3.0,2.0,,9.0,90.0,1.0,18.0,2.0,61.0,20.0,1.0,,5.0,,,1.0,,1.0,,,,,,,,3.0,3.0
25.0,13.0,53.0,4.0,,5.0,60.0,14.0,3.0,2.0,8.0,,2.0,,1.0,2.0,2.0,,18.0,,3.0,3.0,6.0,4.0,22.0,1.0,3.0,,,,,,,,,,,,,,,
60.0,177.0,162.0,9.0,,13.0,194.0,12.0,20.0,14.0,9.0,2.0,26.0,3.0,1.0,3.0,5.0,,30.0,142.0,,21.0,3.0,89.0,101.0,5.0,2.0,11.0,,,7.0,,1.0,,2.0,,,,,,3.0,9.0
38.0,83.0,221.0,5.0,,13.0,103.0,28.0,7.0,13.0,12.0,,11.0,3.0,1.0,,9.0,1.0,20.0,163.0,2.0,16.0,4.0,43.0,33.0,2.0,2.0,8.0,,,5.0,,1.0,,,,,,,,3.0,6.0
32.0,94.0,342.0,8.0,,12.0,55.0,29.0,11.0,10.0,6.0,,22.0,2.0,1.0,1.0,8.0,,20.0,222.0,2.0,12.0,2.0,50.0,55.0,1.0,4.0,23.0,,,22.0,4.0,1.0,,1.0,,1.0,,,,3.0,21.0
19.0,83.0,184.0,8.0,,7.0,72.0,15.0,18.0,15.0,7.0,,6.0,2.0,1.0,,3.0,,17.0,173.0,,15.0,2.0,47.0,29.0,,3.0,4.0,,,1.0,,1.0,,,,,,,,3.0,2.0
48.0,80.0,241.0,8.0,,13.0,70.0,38.0,5.0,12.0,8.0,1.0,13.0,1.0,1.0,2.0,16.0,1.0,12.0,156.0,,14.0,3.0,32.0,65.0,2.0,3.0,7.0,,1.0,9.0,,1.0,,1.0,,1.0,,,,3.0,5.0
42.0,96.0,119.0,18.0,,9.0,128.0,40.0,8.0,8.0,3.0,,21.0,1.0,,1.0,10.0,,21.0,68.0,1.0,9.0,1.0,58.0,62.0,,2.0,2.0,,,4.0,,,,,,1.0,,,,,2.0
56.0,173.0,204.0,13.0,,18.0,146.0,22.0,30.0,25.0,10.0,,24.0,3.0,1.0,5.0,5.0,,12.0,189.0,,31.0,3.0,100.0,57.0,5.0,,15.0,,,6.0,5.0,2.0,,,,,,,,6.0,11.0
23.0,111.0,193.0,3.0,,13.0,93.0,12.0,4.0,25.0,6.0,1.0,17.0,4.0,1.0,3.0,5.0,,10.0,174.0,1.0,34.0,3.0,45.0,30.0,6.0,,5.0,,,3.0,,1.0,,,,,,,,3.0,3.0
53.0,127.0,190.0,4.0,,15.0,118.0,19.0,13.0,23.0,7.0,,33.0,2.0,1.0,5.0,7.0,,20.0,141.0,,28.0,2.0,53.0,38.0,3.0,2.0,7.0,,,5.0,,1.0,,1.0,,,,,,3.0,5.0
67.0,158.0,146.0,4.0,,16.0,200.0,13.0,20.0,19.0,10.0,1.0,37.0,2.0,1.0,4.0,3.0,,17.0,133.0,1.0,26.0,3.0,94.0,50.0,5.0,,28.0,,,21.0,1.0,2.0,,,,,,,,6.0,22.0
37.0,112.0,140.0,6.0,,18.0,150.0,16.0,10.0,22.0,10.0,,10.0,1.0,1.0,1.0,3.0,,23.0,131.0,2.0,31.0,3.0,51.0,38.0,7.0,,7.0,,,11.0,,1.0,,,,,,,,3.0,5.0
103.0,207.0,329.0,14.0,,18.0,350.0,35.0,19.0,30.0,14.0,,34.0,2.0,1.0,7.0,25.0,,24.0,200.0,,43.0,3.0,105.0,86.0,7.0,7.0,18.0,25.0,,45.0,1.0,2.0,,2.0,,17.0,,14.0,,6.0,14.0
59.0,148.0,82.0,9.0,,8.0,70.0,3.0,18.0,18.0,6.0,1.0,21.0,3.0,1.0,2.0,,,36.0,79.0,15.0,25.0,2.0,97.0,64.0,2.0,,10.0,,,11.0,2.0,1.0,1.0,4.0,,3.0,15.0,,2.0,3.0,8.0
28.0,58.0,226.0,5.0,,11.0,31.0,19.0,6.0,12.0,11.0,,10.0,1.0,1.0,,5.0,,12.0,173.0,,15.0,5.0,15.0,44.0,2.0,5.0,5.0,,,2.0,,1.0,,1.0,,,,,,3.0,3.0
43.0,152.0,495.0,9.0,,13.0,174.0,8.0,26.0,21.0,3.0,,29.0,2.0,1.0,3.0,5.0,,26.0,307.0,2.0,26.0,1.0,103.0,26.0,4.0,4.0,15.0,,1.0,12.0,,1.0,,3.0,,,,,,3.0,13.0
46.0,65.0,211.0,9.0,,13.0,83.0,30.0,2.0,8.0,8.0,,7.0,3.0,1.0,2.0,3.0,,18.0,140.0,,9.0,2.0,39.0,37.0,,5.0,1.0,,,2.0,,,,,,,,,,,1.0
27.0,39.0,174.0,11.0,,10.0,26.0,9.0,10.0,6.0,6.0,,8.0,1.0,1.0,1.0,5.0,,13.0,121.0,6.0,5.0,2.0,22.0,26.0,,3.0,7.0,,,5.0,1.0,1.0,,,,,,,,3.0,5.0
43.0,123.0,247.0,8.0,,18.0,112.0,15.0,6.0,14.0,12.0,,48.0,1.0,1.0,5.0,4.0,,13.0,105.0,4.0,23.0,5.0,63.0,51.0,5.0,,8.0,,,3.0,,1.0,,1.0,,1.0,,,,3.0,6.0
28.0,45.0,14.0,5.0,,10.0,29.0,17.0,7.0,6.0,10.0,,6.0,,1.0,1.0,2.0,1.0,8.0,10.0,1.0,6.0,3.0,21.0,35.0,,,,,,,,,,,,,,,,,
72.0,65.0,311.0,10.0,,14.0,51.0,31.0,4.0,10.0,15.0,,12.0,1.0,,,4.0,,14.0,235.0,1.0,23.0,5.0,28.0,69.0,9.0,,7.0,,,1.0,,1.0,,,,,,,,4.0,3.0
16.0,22.0,,6.0,,2.0,58.0,45.0,1.0,,,,11.0,,1.0,1.0,4.0,,21.0,,1.0,,,7.0,31.0,,5.0,,,,,,,,,,,,,,,
